N_trades,Won,Win_rate,Roi,Sharperatio,Drawdown,Currency1,Currency2,Ratio
18,11,61.11,10.85,2.95,6.92,MANAUSDT,SANDUSDT,0.8502317841435874
22,15,68.18,33.84,3.05,0.0,IOTAUSDT,ENJUSDT,0.5585836909871243
30,23,76.67,41.32,5.63,0.0,THETAUSDT,ALICEUSDT,0.6085776330076004
77,47,61.04,79.16,1.39,6.33,ENJUSDT,WAXPUSDT,5.488810365135453
68,36,52.94,89.2,2.81,3.02,ALICEUSDT,BAKEUSDT,7.675000000000001
26,18,69.23,37.72,4.68,3.57,IOTXUSDT,ALICEUSDT,0.0155211726384364
137,74,54.01,35.54,1.01,13.05,STMXUSDT,WAXPUSDT,0.0825206124852768
13,6,46.15,-38.59,-0.53,36.29,IOTXUSDT,TLMUSDT,1.2360570687418937
34,15,44.12,-15.42,-0.84,27.55,IOTAUSDT,ZENUSDT,0.0191116005873715
22,16,72.73,9.34,0.28,3.13,COMPUSDT,AAVEUSDT,0.6302354399008674
60,33,55.0,6.0,0.21,15.6,THETAUSDT,BAKEUSDT,4.670833333333333
