Currency1,Currency2,Correlation,Cointegration,Criticals,Ratio
MANAUSDT,SANDUSDT,0.8935700806408138,-4.305959184813021,-3.9267806789638935,0.8502317841435874
IOTAUSDT,ENJUSDT,0.8566673977642598,-4.003625363073901,-3.9267806789638935,0.5585836909871243
THETAUSDT,ALICEUSDT,0.8508526020487458,-4.666592808991393,-3.9267806789638935,0.6085776330076004
ENJUSDT,WAXPUSDT,0.8476297499747074,-5.356048424296153,-3.9267806789638935,5.488810365135453
ALICEUSDT,BAKEUSDT,0.8457747756137841,-4.072019412457091,-3.9267806789638935,7.675000000000001
IOTXUSDT,ALICEUSDT,0.8441990981829961,-4.05060006037433,-3.9267806789638935,0.015521172638436482
STMXUSDT,WAXPUSDT,0.8413823244297437,-6.857550265108045,-3.9267806789638935,0.0825206124852768
IOTXUSDT,TLMUSDT,0.8413263180661459,-4.836511008065028,-3.9267806789638935,1.2360570687418937
IOTAUSDT,ZENUSDT,0.8349097249387587,-4.254663037865549,-3.9267806789638935,0.019111600587371512
COMPUSDT,AAVEUSDT,0.8337064772927912,-4.4307400752265265,-3.9267806789638935,0.6302354399008674
THETAUSDT,BAKEUSDT,0.8307126163540665,-5.35910195915722,-3.9267806789638935,4.670833333333333
